Occupation title (click on the occupation title to view its profile),Location quotient,Annual mean wage
"Child, Family, and School Social Workers",1.16,63590
Healthcare Social Workers,1.23,63980
Mental Health and Substance Abuse Social Workers,1.17,68300
"Social Workers, All Other",0.87,70180
Health Education Specialists,0.77,61110
Probation Officers and Correctional Treatment Specialists,0.71,73580
Social and Human Service Assistants,1.6,39050
Community Health Workers,1.45,48190
"Community and Social Service Specialists, All Other",2.18,57410
Clergy,1.43,61600
"Directors, Religious Activities and Education",2.77,53650
"Religious Workers, All Other",1.51,38930
Legal Occupations,1.57,141800
Lawyers,1.9,174720
Judicial Law Clerks,0.47,66980
"Administrative Law Judges, Adjudicators, and Hearing Officers",1.36,110810
"Arbitrators, Mediators, and Conciliators",1.08,87800
"Judges, Magistrate Judges, and Magistrates",0.87,165940
Paralegals and Legal Assistants,1.34,60430
"Title Examiners, Abstractors, and Searchers",0.44,66310
"Legal Support Workers, All Other",0.71,63830
Educational Instruction and Library Occupations,1.18,73390
"Business Teachers, Postsecondary",1.42,120880
"Computer Science Teachers, Postsecondary",1.37,117320
"Mathematical Science Teachers, Postsecondary",1.2,115640
"Architecture Teachers, Postsecondary",1.95,141050
"Engineering Teachers, Postsecondary",0.84,130440
"Agricultural Sciences Teachers, Postsecondary",0.24,102500
"Biological Science Teachers, Postsecondary",1.24,109580
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.19,122970
"Chemistry Teachers, Postsecondary",1.53,112020
"Environmental Science Teachers, Postsecondary",1.45,114870
"Physics Teachers, Postsecondary",1.26,124600
"Anthropology and Archeology Teachers, Postsecondary",1.73,116430
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.77,114880
"Economics Teachers, Postsecondary",1.74,136150
"Geography Teachers, Postsecondary",0.35,78030
"Political Science Teachers, Postsecondary",1.31,128200
"Psychology Teachers, Postsecondary",1.51,102170
"Sociology Teachers, Postsecondary",1.59,108520
"Social Sciences Teachers, Postsecondary, All Other",2.32,119490
"Health Specialties Teachers, Postsecondary",1.37,129440
"Nursing Instructors and Teachers, Postsecondary",1.14,101860
"Education Teachers, Postsecondary",1.29,97920
"Library Science Teachers, Postsecondary",1.04,88130
"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.97,75900
"Law Teachers, Postsecondary",2.68,141430
"Social Work Teachers, Postsecondary",2.78,97040
"Art, Drama, and Music Teachers, Postsecondary",1.62,107440
"Communications Teachers, Postsecondary",1.52,99080
"English Language and Literature Teachers, Postsecondary",1.67,105500
"Foreign Language and Literature Teachers, Postsecondary",1.25,95940
"History Teachers, Postsecondary",1.26,104050
"Philosophy and Religion Teachers, Postsecondary",1.52,87920
"Recreation and Fitness Studies Teachers, Postsecondary",0.55,90350
"Career/Technical Education Teachers, Postsecondary",0.63,75150
"Postsecondary Teachers, All Other",0.31,109250
"Preschool Teachers, Except Special Education",1.06,44170
"Kindergarten Teachers, Except Special Education",0.95,77860
"Elementary School Teachers, Except Special Education",0.98,83990
"Middle School Teachers, Except Special and Career/Technical Education",1.19,85780
"Career/Technical Education Teachers, Middle School",1.13,95660
"Secondary School Teachers, Except Special and Career/Technical Education",1.06,90050
"Career/Technical Education Teachers, Secondary School",0.67,83110
"Special Education Teachers, Preschool",3.56,93100
"Special Education Teachers, Kindergarten and Elementary School",1.78,82190
"Special Education Teachers, Middle School",2.39,84830
"Special Education Teachers, Secondary School",1.75,86990
"Special Education Teachers, All Other",1.44,84640
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.86,73440
Self-Enrichment Teachers,1.99,65570
"Substitute Teachers, Short-Term",0.79,41200
"Tutors and Teachers and Instructors, All Other",0.98,61250
Archivists,2.92,58780
Curators,1.64,74650
Museum Technicians and Conservators,1.42,63140
Librarians and Media Collections Specialists,1.35,73670
Library Technicians,1.3,37390
Farm and Home Management Educators,0.2,65510
Instructional Coordinators,1.32,76670
"Teaching Assistants, Postsecondary",0.74,45420
"Teaching Assistants, Except Postsecondary",1.44,34380
"Educational Instruction and Library Workers, All Other",0.28,58130
"Arts, Design, Entertainment, Sports, and Media Occupations",1.66,84850
Art Directors,3.18,134810
Craft Artists,0.34,44850
"Fine Artists, Including Painters, Sculptors, and Illustrators",1.95,101250
Special Effects Artists and Animators,1.4,94890
"Artists and Related Workers, All Other",0.51,103470
Commercial and Industrial Designers,1.19,84390
Fashion Designers,5.92,91630
Floral Designers,0.74,33680
Graphic Designers,1.54,68690
Interior Designers,1.4,68330
Merchandise Displayers and Window Trimmers,0.76,38930
Set and Exhibit Designers,2.75,86040
"Designers, All Other",1.47,73640
